checklist,taxonID,exemplar id,canonicalName
0,35498464,419,Ovis ammon poli
0,35498450,420,Ovis poli typica
0,35492154,425,Ovis nivicola
0,35498335,422,Ovis nivicola koriakorum
0,35498333,423,Ovis nivicola borealis
0,35498334,424,Ovis nivicola kodarensis
0,35498332,425,Ovis nivicola nivicola
0,35490145,428,Ovis aries
0,35498318,427,Ovis aries arkal
0,35498462,426,Ovis vignei arkal
0,35498317,428,Ovis aries aries
0,35498320,429,Ovis aries isphahanica
0,35498321,430,Ovis aries laristanica
0,35498319,434,Ovis aries cycloceros
0,35498459,431,Ovis vignei bochariensis
0,35498461,432,Ovis vignei punjabiensis
0,35498458,433,Ovis vignei cycloceros
0,35498323,436,Ovis aries vignei
0,35498465,435,Ovis vignei vignei
0,35492155,435,Ovis vignei
0,35498322,439,Ovis aries orientalis
0,35489961,437,Ovis orientalis
0,35498452,438,Ovis orientalis typica
0,35490481,442,Ovis aries musimon
0,35498451,440,Ovis aries musimon
0,35497803,441,Aegoceros musimon
0,35489962,441,Ovis musimon musimon
0,35489960,441,Ovis musimon
0,35490482,445,Ovis aries ophion
0,35498479,443,Ovis orientalis ophion
0,35492188,444,Ovis ophion
0,35489824,453,Ovis canadensis
0,35498329,446,Ovis canadensis weemsi
0,35498327,447,Ovis canadensis mexicana
0,35498328,448,Ovis canadensis nelsoni
0,35498483,449,Ovis canadensis auduboni
0,35498325,451,Ovis canadensis californiana
0,35498453,450,Ovis canadensis sierrae
0,35498326,452,Ovis canadensis cremnobates
0,35498324,453,Ovis canadensis canadensis
0,35489823,454,Ovis dalli
0,35498330,454,Ovis dalli dalli
0,35498331,455,Ovis dalli stonei
0,54964778,13979,Ovibos
0,35489822,456,Ovibos moschatus
0,54964687,13980,Ourebia
0,35492112,463,Ourebia ourebi
0,35498222,457,Ourebia ourebi rutila
0,35498221,458,Ourebia ourebi quadriscopa
0,35498220,459,Ourebia ourebi montana
0,35498219,460,Ourebia ourebi hastata
0,35498218,461,Ourebia ourebi haggardi
0,35498217,462,Ourebia ourebi gallarum
0,35498215,463,Ourebia ourebi ourebi
0,54962670,13981,Oreotragus
0,35492111,468,Oreotragus oreotragus
0,35498214,464,Oreotragus oreotragus tyleri
0,35498213,465,Oreotragus oreotragus stevensoni
0,35498212,466,Oreotragus oreotragus saltatrixoides
0,35498211,467,Oreotragus oreotragus aceratos
0,35498210,468,Oreotragus oreotragus oreotragus
0,54968045,13982,Pantholops
0,35492113,469,Pantholops hodgsonii
0,54976075,13983,Pelea
0,35492182,470,Pelea capreolus
0,54981158,13984,Philantomba
0,35497770,478,Philantomba monticola
0,35498372,471,Philantomba monticola hecki
